어종명,연도,월,총마릿수,총중량(kg)
능성어,2024,03,14.0,23.6
능성어,2024,04,299.0,387.7
능성어,2024,05,82.0,66.4
능성어,2024,06,525.0,319.3
능성어,2024,07,22.0,21.9
능성어,2024,08,106.0,38.3
능성어,2024,09,686.0,247.2
능성어,2024,10,155.0,87.0
대구,2023,01,9669.0,17493.3
대구,2023,02,9144.0,16885.6
대구,2023,03,10545.0,17693.9
대구,2023,04,2363.0,2571.5
대구,2023,05,1304.0,1331.5
대구,2023,06,5856.0,3505.4
대구,2023,07,4326.0,8994.4
대구,2023,08,7777.0,19473.6
대구,2023,09,12624.0,22696.8
대구,2023,10,17609.0,27062.2
대구,2023,11,20313.0,35506.9
대구,2023,12,31274.0,48776.9
대구,2024,01,22533.0,36818.4
대구,2024,02,12387.0,24705.7
대구,2024,03,17890.0,25397.9
대구,2024,04,3423.0,4602.2
대구,2024,05,1830.0,3690.0
대구,2024,06,5508.0,7822.6
대구,2024,07,12789.0,17003.0
대구,2024,08,20327.0,28647.9
대구,2024,09,25487.0,31754.4
대구,2024,10,24439.0,54494.2
돌돔(줄돔),2023,01,461.0,402.0
돌돔(줄돔),2023,02,365.0,267.2
돌돔(줄돔),2023,03,357.0,432.1
돌돔(줄돔),2023,04,983.0,743.8
돌돔(줄돔),2023,05,3089.0,3544.1
돌돔(줄돔),2023,06,4229.0,8783.6
돌돔(줄돔),2023,07,6526.0,6022.5
돌돔(줄돔),2023,08,9109.0,6757.5
돌돔(줄돔),2023,09,5661.0,3548.9
돌돔(줄돔),2023,10,19728.0,10688.9
돌돔(줄돔),2023,11,14607.0,7820.5
돌돔(줄돔),2023,12,4825.0,3172.1
돌돔(줄돔),2024,01,10384.0,13226.1
돌돔(줄돔),2024,02,7941.0,6515.9
돌돔(줄돔),2024,03,7857.0,5306.8
돌돔(줄돔),2024,04,12460.0,12683.4
돌돔(줄돔),2024,05,3806.0,3624.6
돌돔(줄돔),2024,06,6771.0,5091.6
돌돔(줄돔),2024,07,8530.0,6701.1
돌돔(줄돔),2024,08,7307.0,5880.8
돌돔(줄돔),2024,09,8577.0,5351.0
돌돔(줄돔),2024,10,13975.0,8177.6
망둑어류,2023,01,0.0,0.0
망둑어류,2023,02,0.0,0.0
