품종,방류물량1,방류구분,연도,월
자바리,10000,생산방류,2023,01
참조기,40000,생산방류,2023,01
참조기,30000,생산방류,2023,01
은어,71000,생산방류,2023,02
넙치,170000,생산방류,2023,05
황복,62000,생산방류,2023,07
감성돔,351000,생산방류,2023,05
대구,1600000,생산방류,2023,01
돌돔,59202,매입방류,2023,06
감성돔,50000,매입방류,2023,06
감성돔,400120,매입방류,2023,07
쥐치,147059,매입방류,2023,01
참조기,250000,무상방류,2023,01
주꾸미,100000,시험방류,2023,06
갑오징어,50000,시험방류,2023,07
은어,306122,매입방류,2023,06
낙지,10000,생산방류,2023,01
낙지,10000,생산방류,2023,09
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,06
주꾸미,60000,생산방류,2023,06
주꾸미,60000,생산방류,2023,06
점농어,177040,매입방류,2023,01
쥐노래미,69687,매입방류,2023,01
감성돔,144711,매입방류,2023,08
문치가자미,109523,매입방류,2023,07
돌돔,163007,매입방류,2023,06
볼락,182233,매입방류,2023,05
감성돔,109890,매입방류,2023,06
강도다리,50000,무상방류,2023,01
문치가자미,63200,매입방류,2023,06
돌돔,88300,매입방류,2023,01
갑오징어,20000,생산방류,2023,01
갑오징어,30000,생산방류,2023,01
감성돔,134612,매입방류,2023,06
점농어,69007,매입방류,2023,06
주꾸미,100000,무상방류,2023,06
주꾸미,50000,무상방류,2023,06
주꾸미,100000,무상방류,2023,06
주꾸미,100000,무상방류,2023,06
은어,32000,매입방류,2023,01
은어,32000,매입방류,2023,01
은어,31240,매입방류,2023,01
대구,6000000,무상방류,2023,04
넙치,50000,무상방류,2023,09
강도다리,50000,무상방류,2023,09
쥐노래미,40000,무상방류,2023,06
쥐노래미,16105,매입방류,2023,01
넙치,50000,생산방류,2023,09
강도다리,50000,생산방류,2023,09
강도다리,50000,생산방류,2023,09
강도다리,50000,생산방류,2023,09
강도다리,50000,생산방류,2023,09
강도다리,50000,생산방류,2023,09
강도다리,50000,생산방류,2023,09
쥐노래미,40000,시험방류,2023,06
대구,4000000,생산방류,2023,04
점농어,451996,매입방류,2023,06
점농어,314078,매입방류,2023,01
점농어,29000,매입방류,2023,05
감성돔,174700,매입방류,2023,07
감성돔,220000,매입방류,2023,06
감성돔,108109,매입방류,2023,01
점농어,104020,매입방류,2023,01
감성돔,111627,매입방류,2023,01
감성돔,111627,매입방류,2023,01
돌돔,79546,매입방류,2023,01
황복,470000,매입방류,2023,01
개볼락,70000,무상방류,2023,01
문치가자미,535000,무상방류,2023,07
쥐노래미,300000,무상방류,2023,05
황복,353600,매입방류,2023,08
감성돔,132276,매입방류,2023,07
참돔,344828,매입방류,2023,06
감성돔,30000,생산방류,2023,07
참돔,50000,생산방류,2023,07
전어,100000,생산방류,2023,08
넙치,1283759,매입방류,2023,07
넙치,842556,매입방류,2023,07
점농어,231847,매입방류,2023,04
넙치,503847,매입방류,2023,07
넙치,269231,매입방류,2023,01
넙치,1173510,매입방류,2023,07
넙치,484262,매입방류,2023,06
넙치,194500,매입방류,2023,07
넙치,566876,매입방류,2023,07
갑오징어,89000,생산방류,2023,06
참조기,200000,생산방류,2023,08
주꾸미,150000,생산방류,2023,07
주꾸미,170000,생산방류,2023,06
주꾸미,200000,생산방류,2023,06
갑오징어,106000,생산방류,2023,07
쥐치,30521,매입방류,2023,07
문치가자미,21053,매입방류,2023,08
문치가자미,21053,매입방류,2023,08
연어,50000,생산방류,2023,03
연어,100000,생산방류,2023,03
넙치,96375,매입방류,2023,07
넙치,88144,매입방류,2023,07
넙치,675676,매입방류,2023,06
감성돔,337703,매입방류,2023,06
은어,108620,매입방류,2023,03
문치가자미,50000,무상방류,2023,07
문치가자미,50000,무상방류,2023,07
강도다리,46209,매입방류,2023,07
강도다리,46846,매입방류,2023,07
은어,20000,생산방류,2023,03
은어,20000,생산방류,2023,03
은어,30000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,40000,생산방류,2023,03
은어,50000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,20000,생산방류,2023,03
은어,20000,생산방류,2023,03
은어,10000,생산방류,2023,03
은어,10000,생산방류,2023,03
참조기,218949,매입방류,2023,06
참조기,1650000,매입방류,2023,06
참조기,950000,매입방류,2023,06
넙치,140846,매입방류,2023,07
넙치,140845,매입방류,2023,07
돌돔,73318,매입방류,2023,01
참돔,203583,매입방류,2023,06
돌돔,129691,매입방류,2023,01
점농어,75656,매입방류,2023,01
감성돔,143135,매입방류,2023,01
점농어,77572,매입방류,2023,01
감성돔,161614,매입방류,2023,01
감성돔,136345,매입방류,2023,01
꺽지,4200,시험방류,2023,01
참돔,48781,매입방류,2023,06
참돔,48780,매입방류,2023,06
감성돔,48781,매입방류,2023,06
감성돔,48780,매입방류,2023,06
볼락,73015,매입방류,2023,06
볼락,73015,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,06
볼락,50794,매입방류,2023,01
점농어,100000,생산방류,2023,01
은어,136364,매입방류,2023,05
쥐노래미,48000,무상방류,2023,01
쥐노래미,46000,무상방류,2023,05
은어,45455,매입방류,2023,04
은어,10000,무상방류,2023,03
연어,900000,생산방류,2023,01
꼼치,1000000,무상방류,2023,01
대구,5000000,생산방류,2023,02
은어,121362,매입방류,2023,01
연어,700000,생산방류,2023,03
연어,300000,생산방류,2023,03
꼼치,30050000,생산방류,2023,01
연어,4600000,생산방류,2023,02
연어,100000,생산방류,2023,01
연어,300000,생산방류,2023,02
연어,300000,생산방류,2023,02
연어,100000,생산방류,2023,02
연어,500000,생산방류,2023,02
연어,2000000,생산방류,2023,02
연어,1000000,생산방류,2023,02
점농어,177040,매입방류,2023,01
쥐노래미,69687,매입방류,2023,01
황어,500000,생산방류,2023,01
연어,500000,생산방류,2023,01
은어,72174,매입방류,2023,03
문치가자미,71000,매입방류,2023,09
대문어,20000,무상방류,2023,12
강도다리,61871,매입방류,2023,01
쥐노래미,17246,매입방류,2023,06
넙치,1173510,매입방류,2023,07
점농어,231847,매입방류,2023,01
돌돔,72400,매입방류,2023,01
돌돔,325819,매입방류,2023,01
점농어,99574,매입방류,2023,06
감성돔,217540,매입방류,2023,06
감성돔,115385,매입방류,2023,07
황복,277511,매입방류,2023,01
감성돔,98312,매입방류,2023,01
돌돔,149790,매입방류,2023,07
볼락,378258,매입방류,2023,01
도다리,175125,매입방류,2023,01
은어,207469,매입방류,2023,03
볼락,24692,생산방류,2023,05
꼼치,332260000,생산방류,2023,02
쥐노래미,300000,무상방류,2023,05
문치가자미,535000,무상방류,2023,07
개볼락,70000,무상방류,2023,09
문치가자미,64348,매입방류,2023,01
볼락,114943,매입방류,2023,01
감성돔,193209,매입방류,2023,01
문치가자미,71074,매입방류,2023,09
볼락,142242,매입방류,2023,06
주꾸미,840000,무상방류,2023,01
돌돔,117907,매입방류,2023,06
감성돔,299150,매입방류,2023,06
점농어,48094,매입방류,2023,01
점농어,48094,매입방류,2023,01
점농어,48094,매입방류,2023,01
감성돔,89600,매입방류,2023,01
감성돔,89600,매입방류,2023,01
감성돔,89600,매입방류,2023,01
연어,260000,생산방류,2023,02
황어,50000,생산방류,2023,07
명태,50000,생산방류,2023,12
문치가자미,26446,매입방류,2023,08
감성돔,59084,매입방류,2023,08
강도다리,79454,매입방류,2023,07
쥐노래미,54619,매입방류,2023,06
감성돔,129534,매입방류,2023,09
볼락,119905,매입방류,2023,01
박대,20000,무상방류,2023,11
참조기,195454,매입방류,2023,10
능성어,3508,매입방류,2023,10
왕우럭,149847,매입방류,2023,12
감성돔,86581,매입방류,2023,08
문치가자미,36187,매입방류,2023,07
볼락,46125,매입방류,2023,06
강도다리,94284,매입방류,2023,09
문치가자미,20594,매입방류,2023,07
돌돔,84250,매입방류,2023,01
돌돔,64643,매입방류,2023,01
돌돔,249610,매입방류,2023,01
낙지,10000,생산방류,2023,10
낙지,10000,생산방류,2023,10
낙지,10000,생산방류,2023,01
문치가자미,134569,매입방류,2023,09
감성돔,286534,매입방류,2023,06
참돔,302740,매입방류,2023,07
넙치,430639,매입방류,2023,07
넙치,474647,매입방류,2023,07
참조기,70000,생산방류,2023,01
능성어,10000,생산방류,2023,01
자바리,10000,생산방류,2023,01
참조기,40000,생산방류,2023,01
참조기,30000,생산방류,2023,01
은어,71000,생산방류,2023,02
넙치,170000,생산방류,2023,05
황복,62000,생산방류,2023,07
감성돔,351000,생산방류,2023,05
대구,1600000,생산방류,2023,01
돌돔,59202,매입방류,2023,06
감성돔,50000,매입방류,2023,06
감성돔,400120,매입방류,2023,07
쥐치,147059,매입방류,2023,01
참조기,250000,무상방류,2023,01
주꾸미,100000,시험방류,2023,06
갑오징어,50000,시험방류,2023,07
은어,306122,매입방류,2023,06
낙지,10000,생산방류,2023,01
낙지,10000,생산방류,2023,09
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,07
주꾸미,60000,생산방류,2023,06
주꾸미,60000,생산방류,2023,06
주꾸미,60000,생산방류,2023,06
점농어,177040,매입방류,2023,01
쥐노래미,69687,매입방류,2023,01
감성돔,144711,매입방류,2023,08
문치가자미,109523,매입방류,2023,07
돌돔,163007,매입방류,2023,06
볼락,182233,매입방류,2023,05
감성돔,109890,매입방류,2023,06
강도다리,50000,무상방류,2023,01
문치가자미,63200,매입방류,2023,06
돌돔,88300,매입방류,2023,01
갑오징어,20000,생산방류,2023,01
갑오징어,30000,생산방류,2023,01
감성돔,134612,매입방류,2023,06
점농어,69007,매입방류,2023,06
주꾸미,100000,무상방류,2023,06
주꾸미,50000,무상방류,2023,06
주꾸미,100000,무상방류,2023,06
주꾸미,100000,무상방류,2023,06
은어,32000,매입방류,2023,01
은어,32000,매입방류,2023,01
은어,31240,매입방류,2023,01
대구,6000000,무상방류,2023,04
넙치,50000,무상방류,2023,09
